Park Code,Park,# Endangered Species ,Latitude,Longitude,,,,,,,
CHIS,Channel Islands National Park,142,34.01,-119.42,,,,,,,
JOTR,Joshua Tree National Park,85,33.79,-115.9,,,,,,,
LAVO,Lassen Volcanic National Park,72,40.49,-121.51,,,,,,,
PINN,Pinnacles National Park,67,36.48,-121.16,,,,,,,
REDW,Redwood National Park,102,41.3,-124,,,,,,,
SEKI,Sequoia and Kings Canyon National Parks,87,36.43,-118.68,,,,,,,
YOSE,Yosemite National Park,93,37.83,-119.5,,,,,,,
DEVA,Death Valley National Park,110,36.24,-116.82,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,